TimeStamp, CellandDirection, BSSID, SSID, Strength
1520606393466,C16,50:0f:80:ee:6d:5f,eduroam, -82
1520606393466,C16,50:0f:80:c0:ce:2e,TUvisitor, -81
1520606393466,C16,38:90:a5:8c:93:e1,TUvisitor, -80
1520606393466,C16,50:0f:80:c0:ce:2f,eduroam, -79
1520606393466,C16,50:0f:80:ee:6d:5d,tudelft-dastud, -83
1520606393466,C16,50:0f:80:c0:ce:21,TUvisitor, -70
1520606393466,C16,38:90:a5:20:e9:0f,eduroam, -71
1520606393466,C16,38:90:a5:37:42:df,eduroam, -73
1520606393466,C16,38:90:a5:20:e9:0e,TUvisitor, -72
1520606393466,C16,50:0f:80:e3:79:6e,TUvisitor, -84
1520606393466,C16,50:0f:80:c0:ce:22,tudelft-dastud, -70
1520606393466,C16,38:90:a5:20:e9:01,TUvisitor, -57
1520606393466,C16,38:90:a5:37:42:d2,tudelft-dastud, -78
1520606393466,C16,38:90:a5:37:40:81,TUvisitor, -81
1520606393466,C16,38:90:a5:37:42:dd,tudelft-dastud, -72
1520606393466,C16,38:90:a5:37:42:de,TUvisitor, -72
1520606393466,C16,50:0f:80:c0:ce:2d,tudelft-dastud, -80
1520606413476,C16,50:0f:80:fd:7f:52,tudelft-dastud, -63
1520606413476,C16,50:0f:80:d8:f3:7d,tudelft-dastud, -82
1520606413476,C16,38:90:a5:20:e9:0d,tudelft-dastud, -71
1520606413476,C16,50:0f:80:c0:ce:20,eduroam, -67
1520606413476,C16,50:0f:80:fd:7f:5d,tudelft-dastud, -78
1520606413476,C16,50:0f:80:d8:f3:7e,TUvisitor, -87
1520606413476,C16,50:0f:80:fd:7f:50,eduroam, -64
1520606413476,C16,38:90:a5:37:40:8e,TUvisitor, -83
1520606413476,C16,50:0f:80:e3:79:6d,tudelft-dastud, -86
1520606413476,C16,50:0f:80:e3:79:6f,eduroam, -85
1520606413476,C16,50:0f:80:fd:7f:5e,TUvisitor, -78
1520606413476,C16,38:90:a5:20:e9:02,tudelft-dastud, -59
1520606413476,C16,38:90:a5:20:f0:ff,eduroam, -89
1520606413476,C16,50:0f:80:fd:7f:5f,eduroam, -77
1520606413476,C16,50:0f:80:fd:7f:51,TUvisitor, -63
1520606413476,C16,38:90:a5:20:e9:00,eduroam, -57
1520606413476,C16,50:0f:80:d8:f3:7f,eduroam, -87
1520606413476,C16,38:90:a5:8c:93:e1,TUvisitor, -79
1520606413476,C16,38:90:a5:37:40:8f,eduroam, -85
1520606413476,C16,50:0f:80:ee:6d:5d,tudelft-dastud, -84
1520606413476,C16,50:0f:80:c0:ce:21,TUvisitor, -67
1520606413476,C16,38:90:a5:20:e9:0f,eduroam, -71
1520606413476,C16,38:90:a5:37:42:df,eduroam, -73
1520606413476,C16,38:90:a5:8c:93:e2,tudelft-dastud, -79
1520606413476,C16,38:90:a5:20:e9:0e,TUvisitor, -71
1520606413476,C16,50:0f:80:e3:79:6e,TUvisitor, -86
1520606413476,C16,50:0f:80:c0:ce:22,tudelft-dastud, -68
1520606413476,C16,38:90:a5:20:e9:01,TUvisitor, -59
1520606413476,C16,50:0f:80:d8:f4:2d,tudelft-dastud, -88
1520606413476,C16,50:0f:80:c4:5f:62,tudelft-dastud, -74
1520606413476,C16,38:90:a5:37:42:dd,tudelft-dastud, -73
1520606413476,C16,38:90:a5:37:42:de,TUvisitor, -73
1520606413476,C16,50:0f:80:c0:ce:2d,tudelft-dastud, -81
1520606438479,C16,38:90:a5:37:42:d0,eduroam, -74
1520606438479,C16,50:0f:80:fd:7f:52,tudelft-dastud, -65
1520606438479,C16,50:0f:80:ee:6d:5e,TUvisitor, -87
1520606438479,C16,50:0f:80:c4:5f:6d,tudelft-dastud, -82
1520606438479,C16,50:0f:80:c4:5f:60,eduroam, -71
1520606438479,C16,50:0f:80:c4:5f:6e,TUvisitor, -83
1520606438479,C16,50:0f:80:d8:f3:7d,tudelft-dastud, -89
1520606438479,C16,38:90:a5:20:e9:0d,tudelft-dastud, -71
1520606438479,C16,50:0f:80:c4:5f:9e,TUvisitor, -91
1520606438479,C16,50:0f:80:c0:ce:20,eduroam, -68
1520606438479,C16,50:0f:80:c4:5f:90,eduroam, -79
1520606438479,C16,50:0f:80:fd:7f:5d,tudelft-dastud, -81
1520606438479,C16,50:0f:80:d8:f3:7e,TUvisitor, -89
1520606438479,C16,50:0f:80:fd:7f:50,eduroam, -65
1520606438479,C16,50:0f:80:e3:79:62,tudelft-dastud, -78
1520606438479,C16,50:0f:80:e3:79:6d,tudelft-dastud, -85
1520606438479,C16,50:0f:80:fd:7f:5e,TUvisitor, -80
1520606438479,C16,38:90:a5:20:e9:02,tudelft-dastud, -58
1520606438479,C16,50:0f:80:fd:7f:5f,eduroam, -81
1520606438479,C16,50:0f:80:fd:7f:51,TUvisitor, -65
1520606438479,C16,38:90:a5:20:e9:00,eduroam, -57
1520606438479,C16,50:0f:80:fd:7f:be,TUvisitor, -93
1520606438479,C16,38:90:a5:20:f0:fd,tudelft-dastud, -90
1520606438479,C16,50:0f:80:c0:ce:2e,TUvisitor, -86
1520606438479,C16,50:0f:80:d8:f3:7f,eduroam, -88
1520606438479,C16,50:0f:80:e3:79:60,eduroam, -79
1520606438479,C16,38:90:a5:8c:93:e1,TUvisitor, -79
1520606438479,C16,50:0f:80:ee:6d:51,TUvisitor, -80
1520606438479,C16,50:0f:80:c4:5f:61,TUvisitor, -71
1520606438479,C16,50:0f:80:c0:ce:2f,eduroam, -82
1520606438479,C16,50:0f:80:ee:6d:5d,tudelft-dastud, -88
1520606438479,C16,50:0f:80:c0:ce:21,TUvisitor, -68
1520606438479,C16,38:90:a5:20:e9:0f,eduroam, -72
1520606438479,C16,38:90:a5:37:42:df,eduroam, -72
1520606438479,C16,38:90:a5:20:e9:0e,TUvisitor, -72
1520606438479,C16,50:0f:80:e3:79:6e,TUvisitor, -85
1520606438479,C16,50:0f:80:c0:ce:22,tudelft-dastud, -68
1520606438479,C16,38:90:a5:20:e9:01,TUvisitor, -58
1520606438479,C16,38:90:a5:91:74:11,TUvisitor, -80
1520606438479,C16,50:0f:80:c4:5f:62,tudelft-dastud, -71
1520606438479,C16,38:90:a5:37:42:dd,tudelft-dastud, -72
1520606438479,C16,38:90:a5:37:42:de,TUvisitor, -73
1520606438479,C16,50:0f:80:c4:5f:6f,eduroam, -82
1520606408475,C16,38:90:a5:37:40:8d,tudelft-dastud, -85
1520606408475,C16,50:0f:80:fd:7f:52,tudelft-dastud, -66
1520606408475,C16,50:0f:80:c4:5f:6d,tudelft-dastud, -80
1520606408475,C16,50:0f:80:c4:5f:6e,TUvisitor, -81
1520606408475,C16,50:0f:80:d8:f3:7d,tudelft-dastud, -88
1520606408475,C16,38:90:a5:20:e9:0d,tudelft-dastud, -71
1520606408475,C16,38:90:a5:37:42:d1,TUvisitor, -79
1520606408475,C16,50:0f:80:fd:7f:5d,tudelft-dastud, -79
1520606408475,C16,50:0f:80:d8:f3:7e,TUvisitor, -88
1520606408475,C16,50:0f:80:fd:7f:50,eduroam, -66
1520606408475,C16,38:90:a5:37:40:8e,TUvisitor, -84
1520606408475,C16,50:0f:80:e3:79:6d,tudelft-dastud, -86
1520606408475,C16,50:0f:80:e3:79:6f,eduroam, -88
1520606408475,C16,50:0f:80:fd:7f:5e,TUvisitor, -79
1520606408475,C16,38:90:a5:20:e9:02,tudelft-dastud, -60
1520606408475,C16,50:0f:80:fd:7f:5f,eduroam, -79
1520606408475,C16,50:0f:80:fd:7f:51,TUvisitor, -66
1520606408475,C16,38:90:a5:20:e9:00,eduroam, -60
1520606408475,C16,50:0f:80:c0:ce:2e,TUvisitor, -80
1520606408475,C16,38:90:a5:8c:93:e1,TUvisitor, -79
1520606408475,C16,38:90:a5:37:40:8f,eduroam, -85
1520606408475,C16,50:0f:80:c0:ce:2f,eduroam, -79
1520606408475,C16,50:0f:80:c0:ce:21,TUvisitor, -69
1520606408475,C16,38:90:a5:20:e9:0f,eduroam, -71
1520606408475,C16,38:90:a5:37:42:df,eduroam, -71
1520606408475,C16,38:90:a5:20:e9:0e,TUvisitor, -71
1520606408475,C16,50:0f:80:e3:79:6e,TUvisitor, -88
1520606408475,C16,50:0f:80:c0:ce:22,tudelft-dastud, -70
1520606408475,C16,38:90:a5:20:e9:01,TUvisitor, -61
1520606408475,C16,38:90:a5:37:42:d2,tudelft-dastud, -79
1520606408475,C16,38:90:a5:37:42:dd,tudelft-dastud, -72
1520606408475,C16,38:90:a5:37:42:de,TUvisitor, -72
1520606433483,C16,50:0f:80:fd:7f:52,tudelft-dastud, -64
1520606433483,C16,50:0f:80:ee:6d:5e,TUvisitor, -87
1520606433483,C16,50:0f:80:c4:5f:6d,tudelft-dastud, -80
1520606433483,C16,50:0f:80:c4:5f:60,eduroam, -72
1520606433483,C16,50:0f:80:c4:5f:6e,TUvisitor, -82
1520606433483,C16,38:90:a5:20:e9:0d,tudelft-dastud, -73
1520606433483,C16,38:90:a5:37:42:d1,TUvisitor, -76
1520606433483,C16,50:0f:80:c4:5f:9e,TUvisitor, -90
1520606433483,C16,50:0f:80:c0:ce:20,eduroam, -68
1520606433483,C16,50:0f:80:c4:5f:90,eduroam, -80
1520606433483,C16,50:0f:80:fd:7f:5d,tudelft-dastud, -80
1520606433483,C16,50:0f:80:fd:7f:50,eduroam, -63
1520606433483,C16,38:90:a5:37:40:8e,TUvisitor, -85
1520606433483,C16,50:0f:80:e3:79:62,tudelft-dastud, -78
1520606433483,C16,50:0f:80:e3:79:6d,tudelft-dastud, -85
1520606433483,C16,50:0f:80:e3:79:6f,eduroam, -86
1520606433483,C16,50:0f:80:fd:7f:5e,TUvisitor, -81
1520606433483,C16,38:90:a5:20:e9:02,tudelft-dastud, -57
1520606433483,C16,50:0f:80:fd:7f:5f,eduroam, -81
1520606433483,C16,50:0f:80:fd:7f:51,TUvisitor, -64
1520606433483,C16,38:90:a5:20:e9:00,eduroam, -58
1520606433483,C16,50:0f:80:ee:6d:5f,eduroam, -88
1520606433483,C16,50:0f:80:c0:ce:2e,TUvisitor, -84
1520606433483,C16,50:0f:80:d8:f3:7f,eduroam, -89
1520606433483,C16,50:0f:80:e3:79:60,eduroam, -78
1520606433483,C16,38:90:a5:8c:93:e1,TUvisitor, -79
1520606433483,C16,50:0f:80:d8:f4:2f,eduroam, -89
1520606433483,C16,50:0f:80:ee:6d:51,TUvisitor, -79
1520606433483,C16,50:0f:80:c4:5f:9f,eduroam, -91
1520606433483,C16,50:0f:80:c4:5f:61,TUvisitor, -72
1520606433483,C16,50:0f:80:c0:ce:2f,eduroam, -82
1520606433483,C16,50:0f:80:ee:6d:5d,tudelft-dastud, -90
1520606433483,C16,50:0f:80:c0:ce:21,TUvisitor, -68
1520606433483,C16,38:90:a5:20:e9:0f,eduroam, -73
1520606433483,C16,50:0f:80:c4:5f:91,TUvisitor, -79
1520606433483,C16,38:90:a5:37:42:df,eduroam, -73
1520606433483,C16,38:90:a5:8c:93:e2,tudelft-dastud, -79
1520606433483,C16,38:90:a5:20:e9:0e,TUvisitor, -73
1520606433483,C16,50:0f:80:e3:79:6e,TUvisitor, -86
1520606433483,C16,50:0f:80:c0:ce:22,tudelft-dastud, -68
1520606433483,C16,38:90:a5:20:e9:01,TUvisitor, -58
1520606433483,C16,50:0f:80:e3:79:61,TUvisitor, -77
1520606433483,C16,50:0f:80:c4:5f:62,tudelft-dastud, -72
1520606433483,C16,50:0f:80:c4:5f:92,tudelft-dastud, -80
1520606433483,C16,38:90:a5:37:42:dd,tudelft-dastud, -73
1520606433483,C16,38:90:a5:37:42:de,TUvisitor, -73
1520606433483,C16,50:0f:80:c4:5f:6f,eduroam, -81
1520606433483,C16,50:0f:80:c4:5f:9d,tudelft-dastud, -91
1520606433483,C16,50:0f:80:c0:ce:2d,tudelft-dastud, -83
1520606418478,C16,38:90:a5:37:42:d0,eduroam, -76
1520606418478,C16,50:0f:80:fd:7f:52,tudelft-dastud, -64
1520606418478,C16,50:0f:80:c4:5f:6d,tudelft-dastud, -79
1520606418478,C16,50:0f:80:c4:5f:60,eduroam, -74
1520606418478,C16,50:0f:80:c4:5f:6e,TUvisitor, -79
1520606418478,C16,50:0f:80:d8:f3:7d,tudelft-dastud, -88
1520606418478,C16,38:90:a5:20:e9:0d,tudelft-dastud, -71
1520606418478,C16,38:90:a5:37:42:d1,TUvisitor, -75
1520606418478,C16,50:0f:80:c0:ce:20,eduroam, -67
1520606418478,C16,50:0f:80:fd:7f:5d,tudelft-dastud, -80
1520606418478,C16,50:0f:80:d8:f3:7e,TUvisitor, -88
1520606418478,C16,50:0f:80:fd:7f:50,eduroam, -64
1520606418478,C16,50:0f:80:e3:79:62,tudelft-dastud, -78
1520606418478,C16,50:0f:80:e3:79:6d,tudelft-dastud, -86
1520606418478,C16,50:0f:80:e3:79:6f,eduroam, -87
1520606418478,C16,50:0f:80:fd:7f:5e,TUvisitor, -80
1520606418478,C16,38:90:a5:20:e9:02,tudelft-dastud, -59
1520606418478,C16,50:0f:80:fd:7f:5f,eduroam, -80
1520606418478,C16,50:0f:80:fd:7f:51,TUvisitor, -64
1520606418478,C16,38:90:a5:20:e9:00,eduroam, -57
1520606418478,C16,50:0f:80:ee:6d:5f,eduroam, -87
1520606418478,C16,50:0f:80:d8:f3:7f,eduroam, -88
1520606418478,C16,50:0f:80:e3:79:60,eduroam, -80
1520606418478,C16,50:0f:80:d8:f4:2e,TUvisitor, -90
1520606418478,C16,38:90:a5:8c:93:e1,TUvisitor, -78
1520606418478,C16,50:0f:80:c4:5f:9f,eduroam, -93
1520606418478,C16,50:0f:80:c4:5f:61,TUvisitor, -74
1520606418478,C16,50:0f:80:ee:6d:5d,tudelft-dastud, -87
1520606418478,C16,50:0f:80:c0:ce:21,TUvisitor, -67
1520606418478,C16,38:90:a5:20:e9:0f,eduroam, -70
1520606418478,C16,50:0f:80:c4:5f:91,TUvisitor, -80
1520606418478,C16,38:90:a5:37:42:df,eduroam, -74
1520606418478,C16,38:90:a5:20:e9:0e,TUvisitor, -71
1520606418478,C16,50:0f:80:e3:79:6e,TUvisitor, -86
1520606418478,C16,50:0f:80:c0:ce:22,tudelft-dastud, -79
1520606418478,C16,38:90:a5:20:e9:01,TUvisitor, -59
1520606418478,C16,50:0f:80:d8:f4:2d,tudelft-dastud, -90
1520606418478,C16,38:90:a5:37:42:d2,tudelft-dastud, -75
1520606418478,C16,50:0f:80:c4:5f:62,tudelft-dastud, -74
1520606418478,C16,38:90:a5:37:42:dd,tudelft-dastud, -73
1520606418478,C16,38:90:a5:37:42:de,TUvisitor, -74
1520606418478,C16,50:0f:80:c4:5f:6f,eduroam, -77
1520606423481,C16,38:90:a5:37:42:d0,eduroam, -74
1520606423481,C16,50:0f:80:fd:7f:52,tudelft-dastud, -64
1520606423481,C16,50:0f:80:ee:6d:5e,TUvisitor, -87
1520606423481,C16,50:0f:80:c4:5f:6d,tudelft-dastud, -79
1520606423481,C16,50:0f:80:c4:5f:60,eduroam, -72
1520606423481,C16,50:0f:80:c4:5f:6e,TUvisitor, -82
1520606423481,C16,50:0f:80:d8:f3:7d,tudelft-dastud, -89
1520606423481,C16,38:90:a5:20:e9:0d,tudelft-dastud, -70
1520606423481,C16,50:0f:80:c0:ce:20,eduroam, -72
1520606423481,C16,50:0f:80:c4:5f:90,eduroam, -80
1520606423481,C16,50:0f:80:fd:7f:5d,tudelft-dastud, -79
1520606423481,C16,38:90:a5:8c:93:ee,TUvisitor, -90
1520606423481,C16,50:0f:80:d8:f3:7e,TUvisitor, -88
1520606423481,C16,50:0f:80:fd:7f:50,eduroam, -64
1520606423481,C16,38:90:a5:37:40:8e,TUvisitor, -85
1520606423481,C16,50:0f:80:e3:79:6d,tudelft-dastud, -86
1520606423481,C16,50:0f:80:e3:79:6f,eduroam, -86
1520606423481,C16,50:0f:80:fd:7f:5e,TUvisitor, -80
1520606423481,C16,38:90:a5:8c:93:ed,tudelft-dastud, -90
1520606423481,C16,38:90:a5:20:e9:02,tudelft-dastud, -57
1520606423481,C16,50:0f:80:fd:7f:5f,eduroam, -81
1520606423481,C16,50:0f:80:fd:7f:51,TUvisitor, -65
1520606423481,C16,38:90:a5:20:e9:00,eduroam, -58
1520606423481,C16,50:0f:80:ee:6d:5f,eduroam, -88
1520606423481,C16,50:0f:80:c0:ce:2e,TUvisitor, -81
1520606423481,C16,38:90:a5:8c:93:ef,eduroam, -89
1520606423481,C16,50:0f:80:d8:f4:2e,TUvisitor, -90
1520606423481,C16,50:0f:80:d8:f4:2f,eduroam, -88
1520606423481,C16,50:0f:80:c4:5f:61,TUvisitor, -72
1520606423481,C16,50:0f:80:c0:ce:21,TUvisitor, -72
1520606423481,C16,38:90:a5:20:e9:0f,eduroam, -70
1520606423481,C16,38:90:a5:37:42:df,eduroam, -73
1520606423481,C16,38:90:a5:20:e9:0e,TUvisitor, -72
1520606423481,C16,50:0f:80:fd:7f:b0,eduroam, -80
1520606423481,C16,50:0f:80:e3:79:6e,TUvisitor, -85
1520606423481,C16,50:0f:80:c0:ce:22,tudelft-dastud, -73
1520606423481,C16,38:90:a5:20:e9:01,TUvisitor, -58
1520606423481,C16,50:0f:80:d8:f4:2d,tudelft-dastud, -89
1520606423481,C16,50:0f:80:c4:5f:92,tudelft-dastud, -79
1520606423481,C16,38:90:a5:37:42:dd,tudelft-dastud, -73
1520606423481,C16,38:90:a5:37:42:de,TUvisitor, -73
1520606423481,C16,50:0f:80:c4:5f:6f,eduroam, -79
1520606423481,C16,50:0f:80:c0:ce:2d,tudelft-dastud, -81
1520606398480,C16,38:90:a5:37:42:d0,eduroam, -74
1520606398480,C16,50:0f:80:fd:7f:52,tudelft-dastud, -64
1520606398480,C16,50:0f:80:ee:6d:5e,TUvisitor, -87
1520606398480,C16,50:0f:80:c4:5f:6d,tudelft-dastud, -82
1520606398480,C16,50:0f:80:c4:5f:60,eduroam, -71
1520606398480,C16,50:0f:80:c4:5f:6e,TUvisitor, -82
1520606398480,C16,50:0f:80:d8:f3:7d,tudelft-dastud, -89
1520606398480,C16,38:90:a5:20:e9:0d,tudelft-dastud, -74
1520606398480,C16,38:90:a5:37:42:d1,TUvisitor, -73
1520606398480,C16,50:0f:80:c0:ce:20,eduroam, -67
1520606398480,C16,50:0f:80:fd:7f:5d,tudelft-dastud, -76
1520606398480,C16,50:0f:80:d8:f3:7e,TUvisitor, -89
1520606398480,C16,50:0f:80:fd:7f:50,eduroam, -63
1520606398480,C16,50:0f:80:fd:7f:5e,TUvisitor, -76
1520606398480,C16,38:90:a5:8c:93:ed,tudelft-dastud, -90
1520606398480,C16,38:90:a5:20:e9:02,tudelft-dastud, -58
1520606398480,C16,50:0f:80:fd:7f:5f,eduroam, -78
1520606398480,C16,50:0f:80:fd:7f:51,TUvisitor, -64
1520606398480,C16,38:90:a5:20:e9:00,eduroam, -59
1520606398480,C16,50:0f:80:c0:ce:2e,TUvisitor, -83
1520606398480,C16,38:90:a5:8c:93:e1,TUvisitor, -76
1520606398480,C16,50:0f:80:ee:6d:51,TUvisitor, -78
1520606398480,C16,50:0f:80:c4:5f:61,TUvisitor, -71
1520606398480,C16,50:0f:80:ee:6d:5d,tudelft-dastud, -87
1520606398480,C16,50:0f:80:c0:ce:21,TUvisitor, -67
1520606398480,C16,38:90:a5:20:e9:0f,eduroam, -74
1520606398480,C16,50:0f:80:ee:6d:50,eduroam, -78
1520606398480,C16,50:0f:80:c4:5f:91,TUvisitor, -80
1520606398480,C16,38:90:a5:37:42:df,eduroam, -74
1520606398480,C16,38:90:a5:8c:93:e2,tudelft-dastud, -76
1520606398480,C16,38:90:a5:20:e9:0e,TUvisitor, -75
1520606398480,C16,50:0f:80:fd:7f:b0,eduroam, -79
1520606398480,C16,50:0f:80:c0:ce:22,tudelft-dastud, -67
1520606398480,C16,38:90:a5:20:e9:01,TUvisitor, -58
1520606398480,C16,38:90:a5:37:42:d2,tudelft-dastud, -74
1520606398480,C16,50:0f:80:e3:79:61,TUvisitor, -79
1520606398480,C16,50:0f:80:c4:5f:62,tudelft-dastud, -70
1520606398480,C16,38:90:a5:37:42:dd,tudelft-dastud, -73
1520606398480,C16,38:90:a5:37:42:de,TUvisitor, -74
1520606398480,C16,50:0f:80:c4:5f:6f,eduroam, -80
1520606398480,C16,50:0f:80:c0:ce:2d,tudelft-dastud, -83
1520606428480,C16,38:90:a5:37:42:d0,eduroam, -74
1520606428480,C16,50:0f:80:fd:7f:52,tudelft-dastud, -66
1520606428480,C16,50:0f:80:c4:5f:6d,tudelft-dastud, -82
1520606428480,C16,50:0f:80:c4:5f:6e,TUvisitor, -82
1520606428480,C16,50:0f:80:d8:f3:7d,tudelft-dastud, -89
1520606428480,C16,38:90:a5:20:e9:0d,tudelft-dastud, -70
1520606428480,C16,50:0f:80:c0:ce:20,eduroam, -68
1520606428480,C16,38:90:a5:8c:93:e0,eduroam, -79
1520606428480,C16,50:0f:80:fd:7f:5d,tudelft-dastud, -82
1520606428480,C16,38:90:a5:8c:93:ee,TUvisitor, -89
1520606428480,C16,50:0f:80:d8:f3:7e,TUvisitor, -88
1520606428480,C16,50:0f:80:fd:7f:50,eduroam, -80
1520606428480,C16,38:90:a5:37:40:8e,TUvisitor, -87
1520606428480,C16,50:0f:80:e3:79:6d,tudelft-dastud, -86
1520606428480,C16,50:0f:80:e3:79:6f,eduroam, -85
1520606428480,C16,50:0f:80:fd:7f:5e,TUvisitor, -81
1520606428480,C16,38:90:a5:8c:93:ed,tudelft-dastud, -90
1520606428480,C16,50:0f:80:fd:7f:bd,tudelft-dastud, -92
1520606428480,C16,38:90:a5:20:e9:02,tudelft-dastud, -58
1520606428480,C16,50:0f:80:fd:7f:5f,eduroam, -81
1520606428480,C16,50:0f:80:fd:7f:51,TUvisitor, -64
1520606428480,C16,38:90:a5:20:e9:00,eduroam, -57
1520606428480,C16,50:0f:80:ee:6d:5f,eduroam, -87
1520606428480,C16,50:0f:80:fd:7f:be,TUvisitor, -92
1520606428480,C16,50:0f:80:c0:ce:2e,TUvisitor, -81
1520606428480,C16,50:0f:80:d8:f3:7f,eduroam, -88
1520606428480,C16,50:0f:80:d8:f4:2e,TUvisitor, -88
1520606428480,C16,38:90:a5:8c:93:e1,TUvisitor, -78
1520606428480,C16,50:0f:80:d8:f4:2f,eduroam, -88
1520606428480,C16,50:0f:80:c4:5f:9f,eduroam, -93
1520606428480,C16,38:90:a5:37:40:8f,eduroam, -88
1520606428480,C16,50:0f:80:c0:ce:2f,eduroam, -82
1520606428480,C16,50:0f:80:c0:ce:21,TUvisitor, -68
1520606428480,C16,38:90:a5:20:e9:0f,eduroam, -71
1520606428480,C16,50:0f:80:d8:f4:21,TUvisitor, -78
1520606428480,C16,38:90:a5:37:42:df,eduroam, -73
1520606428480,C16,38:90:a5:8c:93:e2,tudelft-dastud, -79
1520606428480,C16,38:90:a5:20:e9:0e,TUvisitor, -71
1520606428480,C16,50:0f:80:e3:79:6e,TUvisitor, -86
1520606428480,C16,50:0f:80:c0:ce:22,tudelft-dastud, -70
1520606428480,C16,38:90:a5:20:e9:01,TUvisitor, -57
1520606428480,C16,50:0f:80:d8:f4:2d,tudelft-dastud, -88
1520606428480,C16,38:90:a5:37:42:d2,tudelft-dastud, -74
1520606428480,C16,38:90:a5:37:42:dd,tudelft-dastud, -73
1520606428480,C16,38:90:a5:37:42:de,TUvisitor, -74
1520606428480,C16,50:0f:80:c4:5f:6f,eduroam, -82
1520606428480,C16,50:0f:80:c4:5f:9d,tudelft-dastud, -91
1520606428480,C16,50:0f:80:c0:ce:2d,tudelft-dastud, -83
1520606403476,C16,38:90:a5:37:42:d0,eduroam, -77
1520606403476,C16,50:0f:80:fd:7f:52,tudelft-dastud, -66
1520606403476,C16,50:0f:80:ee:6d:5e,TUvisitor, -86
1520606403476,C16,50:0f:80:d8:f3:7d,tudelft-dastud, -86
1520606403476,C16,38:90:a5:20:e9:0d,tudelft-dastud, -75
1520606403476,C16,38:90:a5:37:42:d1,TUvisitor, -78
1520606403476,C16,50:0f:80:c0:ce:20,eduroam, -66
1520606403476,C16,50:0f:80:fd:7f:5d,tudelft-dastud, -78
1520606403476,C16,50:0f:80:d8:f3:7e,TUvisitor, -85
1520606403476,C16,50:0f:80:fd:7f:50,eduroam, -66
1520606403476,C16,50:0f:80:e3:79:6d,tudelft-dastud, -88
1520606403476,C16,50:0f:80:e3:79:6f,eduroam, -86
1520606403476,C16,50:0f:80:fd:7f:5e,TUvisitor, -79
1520606403476,C16,38:90:a5:20:e9:02,tudelft-dastud, -59
1520606403476,C16,50:0f:80:fd:7f:5f,eduroam, -78
1520606403476,C16,50:0f:80:fd:7f:51,TUvisitor, -66
1520606403476,C16,38:90:a5:20:e9:00,eduroam, -58
1520606403476,C16,50:0f:80:ee:6d:5f,eduroam, -84
1520606403476,C16,50:0f:80:d8:f3:7f,eduroam, -86
1520606403476,C16,38:90:a5:8c:93:e1,TUvisitor, -77
1520606403476,C16,38:90:a5:37:40:8f,eduroam, -84
1520606403476,C16,50:0f:80:ee:6d:5d,tudelft-dastud, -85
1520606403476,C16,50:0f:80:c0:ce:21,TUvisitor, -67
1520606403476,C16,38:90:a5:20:e9:0f,eduroam, -75
1520606403476,C16,38:90:a5:37:42:df,eduroam, -71
1520606403476,C16,38:90:a5:8c:93:e2,tudelft-dastud, -77
1520606403476,C16,38:90:a5:20:e9:0e,TUvisitor, -75
1520606403476,C16,50:0f:80:e3:79:6e,TUvisitor, -87
1520606403476,C16,50:0f:80:c0:ce:22,tudelft-dastud, -66
1520606403476,C16,38:90:a5:20:e9:01,TUvisitor, -58
1520606403476,C16,50:0f:80:d8:f4:2d,tudelft-dastud, -91
1520606403476,C16,38:90:a5:37:42:d2,tudelft-dastud, -77
1520606403476,C16,50:0f:80:c4:5f:62,tudelft-dastud, -73
1520606403476,C16,38:90:a5:37:42:dd,tudelft-dastud, -71
1520606403476,C16,38:90:a5:37:42:de,TUvisitor, -71
1520606403476,C16,50:0f:80:c4:5f:6f,eduroam, -79
1520606456972,C16,50:0f:80:fd:7f:52,tudelft-dastud, -68
1520606456972,C16,50:0f:80:c4:5f:6d,tudelft-dastud, -88
1520606456972,C16,50:0f:80:d8:f3:7d,tudelft-dastud, -88
1520606456972,C16,38:90:a5:20:e9:0d,tudelft-dastud, -71
1520606456972,C16,50:0f:80:c0:ce:20,eduroam, -66
1520606456972,C16,50:0f:80:fd:7f:5d,tudelft-dastud, -78
1520606456972,C16,50:0f:80:d8:f3:7e,TUvisitor, -89
1520606456972,C16,50:0f:80:fd:7f:50,eduroam, -68
1520606456972,C16,38:90:a5:37:40:8e,TUvisitor, -88
1520606456972,C16,50:0f:80:e3:79:62,tudelft-dastud, -77
1520606456972,C16,50:0f:80:e3:79:6d,tudelft-dastud, -88
1520606456972,C16,50:0f:80:fd:7f:5e,TUvisitor, -78
1520606456972,C16,38:90:a5:20:e9:02,tudelft-dastud, -63
1520606456972,C16,38:90:a5:20:f0:ff,eduroam, -85
1520606456972,C16,50:0f:80:fd:7f:5f,eduroam, -77
1520606456972,C16,50:0f:80:fd:7f:51,TUvisitor, -68
1520606456972,C16,38:90:a5:20:e9:00,eduroam, -64
1520606456972,C16,50:0f:80:ee:6d:5f,eduroam, -85
1520606456972,C16,50:0f:80:fd:7f:be,TUvisitor, -92
1520606456972,C16,38:90:a5:20:f0:fd,tudelft-dastud, -86
1520606456972,C16,50:0f:80:d8:f3:7f,eduroam, -87
1520606456972,C16,50:0f:80:e3:79:60,eduroam, -77
1520606456972,C16,50:0f:80:c4:5f:61,TUvisitor, -73
1520606456972,C16,50:0f:80:c0:ce:2f,eduroam, -80
1520606456972,C16,50:0f:80:ee:6d:5d,tudelft-dastud, -85
1520606456972,C16,50:0f:80:c0:ce:21,TUvisitor, -66
